Station Name,Mean Temperature (C),Total Precipitation (mm),Province,Year
BAMFIELD EAST,14.0,29.8,British Columbia,1971
BULL HARBOUR,13.1,46.0,British Columbia,1971
CAPE SCOTT,13.1,41.9,British Columbia,1971
CARNATION CREEK CDF,15.2,44.5,British Columbia,1971
ESTEVAN POINT,13.1,31.6,British Columbia,1971
HOLBERG,12.4,67.6,British Columbia,1971
HOLBERG FIRE DEPT,15.2,57.9,British Columbia,1971
KILDONAN FATTY BASIN,15.9,47.2,British Columbia,1971
PACHENA POINT,13.2,44.2,British Columbia,1971
PORT ALBERNI A,18.0,17.0,British Columbia,1971
PORT ALBERNI REDFORD,19.5,20.9,British Columbia,1971
PORT ALICE,17.0,33.3,British Columbia,1971
QUATSINO,15.7,25.5,British Columbia,1971
SPRING ISLAND,13.8,46.0,British Columbia,1971
TOFINO A,14.0,53.2,British Columbia,1971
ALTA LAKE,17.1,22.6,British Columbia,1971
BRITANNIA BEACH FURRY CR,18.1,36.2,British Columbia,1971
CLOWHOM FALLS,18.3,26.7,British Columbia,1971
DAISY LAKE DAM,17.0,30.2,British Columbia,1971
GIBSONS GOWER POINT,17.4,17.5,British Columbia,1971
MERRY ISLAND LIGHTSTATION,17.5,9.4,British Columbia,1971
POWELL RIVER,18.2,21.9,British Columbia,1971
POWELL RIVER A,17.9,17.5,British Columbia,1971
CAPE ST JAMES,13.0,20.6,British Columbia,1971
LANGARA,11.8,25.2,British Columbia,1971
PORT CLEMENTS,16.1,4.4,British Columbia,1971
SANDSPIT A,15.0,17.0,British Columbia,1971
TASU SOUND,15.8,11.0,British Columbia,1971
TLELL,15.2,8.7,British Columbia,1971
BELLA COOLA,17.5,48.3,British Columbia,1971
BELLA COOLA BC HYDRO,17.3,48.7,British Columbia,1971
BONILLA ISLAND,12.5,21.3,British Columbia,1971
EGG ISLAND,13.0,24.1,British Columbia,1971
ETHELDA BAY,13.8,35.4,British Columbia,1971
GENESEE RIVER,17.0,17.3,British Columbia,1971
KEMANO,17.8,26.2,British Columbia,1971
KILDALA,17.4,43.6,British Columbia,1971
KITIMAT TOWNSITE,18.5,17.1,British Columbia,1971
KITIMAT 2,18.9,17.1,British Columbia,1971
MCINNES ISLAND,13.9,38.1,British Columbia,1971
OCEAN FALLS,17.0,78.1,British Columbia,1971
PRINCE RUPERT A,13.0,11.6,British Columbia,1971
STEWART BCHPA,14.9,25.4,British Columbia,1971
TERRACE A,18.8,24.1,British Columbia,1971
TERRACE PCC,18.6,13.8,British Columbia,1971
WADHAMS CDF,15.4,42.7,British Columbia,1971
AIYANSH,18.1,9.5,British Columbia,1971
BABINE LAKE PINKUT CREEK,17.0,55.1,British Columbia,1971
FORT BABINE,13.2,75.2,British Columbia,1971
HOUSTON,16.1,31.2,British Columbia,1971
KITSAULT MINESITE,12.9,23.1,British Columbia,1971
NEW HAZELTON,18.0,18.8,British Columbia,1971
SMITHERS A,16.5,34.2,British Columbia,1971
SMITHERS 4E,15.6,28.4,British Columbia,1971
TOPLEY LANDING,16.3,44.2,British Columbia,1971
ALEXIS CREEK TAUTRI CRK,12.9,19.3,British Columbia,1971
BIG CREEK,14.8,20.4,British Columbia,1971
GRASSY PLAINS,14.7,57.7,British Columbia,1971
LAJOIE DAM,18.5,11.5,British Columbia,1971
OOTSA L SKINS L SPILLWAY,15.5,56.4,British Columbia,1971
PEMBERTON BCFS,19.4,13.0,British Columbia,1971
PUNTZI MOUNTAIN,15.3,34.6,British Columbia,1971
SOUTHBANK,15.9,46.7,British Columbia,1971
TAHTSA LAKE WEST,13.3,30.8,British Columbia,1971
TATELKUZ LAKE,17.2,73.1,British Columbia,1971
TATLAYOKO LAKE,15.3,7.6,British Columbia,1971
WISTARIA,14.7,60.1,British Columbia,1971
HOUSTON MCBRIDE LAKE,15.3,50.3,British Columbia,1971
ALEZA LAKE,16.3,83.9,British Columbia,1971
BARKERVILLE,13.0,90.8,British Columbia,1971
BOSS MOUNTAIN,13.1,32.5,British Columbia,1971
BURNS LAKE,15.5,66.3,British Columbia,1971
BURNS LAKE DECKER LAKE,17.5,7.4,British Columbia,1971
DOME CREEK,15.4,70.6,British Columbia,1971
FORT ST JAMES,16.3,62.4,British Columbia,1971
HIXON,17.3,59.1,British Columbia,1971
HORSEFLY BCFS,15.4,69.1,British Columbia,1971
KERSLEY,16.0,74.7,British Columbia,1971
MCBRIDE 4SE,16.3,59.3,British Columbia,1971
MCGREGOR,16.1,75.3,British Columbia,1971
OCHILTREE MIOCENE,15.9,62.2,British Columbia,1971
150 MILE HOUSE 7N,15.5,62.6,British Columbia,1971
PRINCE GEORGE A,15.9,84.1,British Columbia,1971
QUESNEL A,17.2,74.7,British Columbia,1971
QUESNEL MOOSE HEIGHTS,16.5,69.1,British Columbia,1971
VANDERHOOF 2NE,16.0,76.2,British Columbia,1971
WILLIAMS LAKE A,15.8,42.7,British Columbia,1971
WILLIAMS LAKE GLENDALE,17.6,58.0,British Columbia,1971
VANDERHOOF BRAESIDE RD,15.6,84.0,British Columbia,1971
FRASER LAKE NORTH SHORE,16.3,76.1,British Columbia,1971
ABBOTSFORD A,17.5,31.9,British Columbia,1971
AGASSIZ CDA,18.6,32.0,British Columbia,1971
ALDERGROVE,16.9,49.4,British Columbia,1971
ALOUETTE LAKE,18.1,82.5,British Columbia,1971
BUNTZEN LAKE,18.4,41.7,British Columbia,1971
BURNABY MTN TERMINAL,18.5,35.3,British Columbia,1971
BURNABY SIMON FRASER U,18.1,40.1,British Columbia,1971
CHILLIWACK,19.5,15.7,British Columbia,1971
CHILLIWACK GIBSON ROAD,18.9,19.4,British Columbia,1971
COQUITLAM LAKE,17.0,63.6,British Columbia,1971
CULTUS LAKE,18.9,14.7,British Columbia,1971
DELTA LADNER EAST,17.5,26.3,British Columbia,1971
DELTA LADNER SOUTH,17.1,28.7,British Columbia,1971
HANEY CORRL INSTN,18.7,67.2,British Columbia,1971
HANEY EAST,18.2,59.2,British Columbia,1971
HANEY UBC RF ADMIN,17.7,57.9,British Columbia,1971
HANEY UBC RF LOON LAKE,17.6,74.2,British Columbia,1971
HANEY UBC RF SPUR 17,18.3,67.5,British Columbia,1971
HOLLYBURN RIDGE,14.8,63.0,British Columbia,1971
LADNER,16.8,21.0,British Columbia,1971
LANGLEY LOCHIEL,17.4,35.6,British Columbia,1971
MILNER AIC,16.7,38.9,British Columbia,1971
MISSION,18.4,26.9,British Columbia,1971
MISSION WEST ABBEY,18.2,33.9,British Columbia,1971
NEW WESTMINSTER BC PEN,18.3,17.7,British Columbia,1971
PITT POLDER,18.2,46.3,British Columbia,1971
PORT COQUITLAM CITY YARD,17.8,63.0,British Columbia,1971
PORT MOODY CENTRE,18.7,36.1,British Columbia,1971
ROSEDALE,19.1,34.5,British Columbia,1971
PORT MOODY GLENAYRE,18.2,37.5,British Columbia,1971
STAVE FALLS,18.7,70.9,British Columbia,1971
SUMAS PRAIRIE,17.6,22.5,British Columbia,1971
SURREY MUNICIPAL HALL,17.9,20.0,British Columbia,1971
SURREY NEWTON,17.3,29.9,British Columbia,1971
VANCOUVER DUNBAR SOUTH,18.8,24.2,British Columbia,1971
VANCOUVER HARBOUR CS,14.3,25.6,British Columbia,1971
VANCOUVER INT'L A,17.3,34.0,British Columbia,1971
VANCOUVER OAK 53,18.5,23.3,British Columbia,1971
VANCOUVER UBC,17.3,16.7,British Columbia,1971
WHALLEY FOREST NURSERY,19.3,36.1,British Columbia,1971
HANEY UBC RF MARC,18.0,51.3,British Columbia,1971
N VANCOUVER CLOVERLEY,18.2,25.4,British Columbia,1971
ALLISON PASS,12.8,22.1,British Columbia,1971
HELLS GATE,21.9,13.8,British Columbia,1971
HOPE A,19.5,16.6,British Columbia,1971
HOPE KAWKAWA LAKE,19.1,21.8,British Columbia,1971
HOPE SLIDE,15.2,9.9,British Columbia,1971
KWOTLENEMO LAKE,17.0,25.8,British Columbia,1971
LYTTON,22.7,34.3,British Columbia,1971
SHALALTH,22.8,14.0,British Columbia,1971
APEX MTN LODGE,12.3,29.0,British Columbia,1971
ARAWANA,20.2,11.2,British Columbia,1971
HEDLEY,20.5,19.3,British Columbia,1971
HIGHLAND VALLEY BCCL,16.1,21.6,British Columbia,1971
HIGHLAND VALLEY LORNEX,16.1,8.2,British Columbia,1971
JOE RICH CREEK,15.3,50.8,British Columbia,1971
KELOWNA A,18.9,32.6,British Columbia,1971
KELOWNA PC BURNETTS NURSERY,20.0,13.2,British Columbia,1971
KEREMEOS,22.1,7.1,British Columbia,1971
MCCULLOCH,13.3,62.0,British Columbia,1971
MERRITT CRAIGMONT MINES,18.4,2.0,British Columbia,1971
MERRITT STP,18.8,1.3,British Columbia,1971
MT KOBAU OBSERVATORY,12.9,36.9,British Columbia,1971
NARAMATA,19.6,11.8,British Columbia,1971
OKANAGAN CENTRE,19.6,28.2,British Columbia,1971
OLIVER,20.1,18.0,British Columbia,1971
OLIVER STP,22.7,28.7,British Columbia,1971
OSOYOOS,21.9,20.2,British Columbia,1971
OSOYOOS WEST,22.8,9.2,British Columbia,1971
PEACHLAND,21.8,14.0,British Columbia,1971
PEACHLAND BRENDA MINES,15.3,16.0,British Columbia,1971
PENTICTON A,20.3,24.7,British Columbia,1971
PRINCETON A,18.3,9.2,British Columbia,1971
SUMMERLAND CDA,21.0,12.0,British Columbia,1971
VERNON COLDSTREAM RANCH,19.2,28.4,British Columbia,1971
VERNON SOUTHWEST,20.1,21.9,British Columbia,1971
WINFIELD,20.4,26.7,British Columbia,1971
GRAND FORKS,19.7,38.5,British Columbia,1971
GRAND FORKS PHOENIX,16.3,50.1,British Columbia,1971
GREENWOOD,17.2,42.0,British Columbia,1971
CASTLEGAR A,19.7,60.5,British Columbia,1971
CASTLEGAR BCHPA DAM,20.0,50.7,British Columbia,1971
COLUMBIA GARDENS NORTH,19.8,46.8,British Columbia,1971
CRESTON,19.3,23.8,British Columbia,1971
DEER PARK,18.5,31.9,British Columbia,1971
DUNCAN LAKE DAM,17.0,22.3,British Columbia,1971
FAUQUIER,18.2,28.2,British Columbia,1971
KASLO,17.7,45.9,British Columbia,1971
LARDEAU,17.1,26.1,British Columbia,1971
NAKUSP,18.9,28.5,British Columbia,1971
NEEDLES WHATSHAN BCHPA,19.3,35.1,British Columbia,1971
NELSON 2,19.4,29.3,British Columbia,1971
NEW DENVER,18.8,33.1,British Columbia,1971
ROBSON,18.8,45.7,British Columbia,1971
ROSSLAND MACLEAN,17.5,40.7,British Columbia,1971
SOUTH SLOCAN,18.4,47.6,British Columbia,1971
WANETA,18.6,39.6,British Columbia,1971
WARFIELD,20.0,35.7,British Columbia,1971
ABERFELDIE,18.2,33.8,British Columbia,1971
CANAL FLATS RANGER STN,18.9,23.7,British Columbia,1971
CRANBROOK A,18.0,23.6,British Columbia,1971
ELKO,18.7,56.9,British Columbia,1971
FERNIE,15.4,66.1,British Columbia,1971
FORDING RIVER COMINCO,13.3,39.9,British Columbia,1971
FT STEELE DANDY CRK,16.8,28.2,British Columbia,1971
GRASMERE,19.1,40.4,British Columbia,1971
KIMBERLEY,15.3,21.0,British Columbia,1971
KOOTENAY NP KTNY CRSG,14.2,31.6,British Columbia,1971
KOOTENAY NP WEST GATE,18.1,37.9,British Columbia,1971
NATAL HARMER RIDGE,15.0,6.9,British Columbia,1971
NATAL KAISER RESOURCES,15.4,33.2,British Columbia,1971
ARMSTRONG,19.4,16.7,British Columbia,1971
ARMSTRONG HULLCAR,23.8,3.0,British Columbia,1971
ASHCROFT M,21.0,9.7,British Columbia,1971
BARRIERE,19.0,31.9,British Columbia,1971
BLUE RIVER A,17.0,59.0,British Columbia,1971
BLUE RIVER NORTH,16.7,67.7,British Columbia,1971
CHASE,19.7,15.5,British Columbia,1971
DARFIELD,18.9,30.5,British Columbia,1971
ENDERBY,19.6,25.9,British Columbia,1971
ENDERBY ASHTON CREEK,19.3,28.0,British Columbia,1971
FALKLAND SALMON VALLEY,18.9,37.6,British Columbia,1971
HAT CREEK,16.1,14.8,British Columbia,1971
HEFFLEY CREEK,17.4,17.9,British Columbia,1971
KAMLOOPS,22.3,16.5,British Columbia,1971
KAMLOOPS A,21.4,15.5,British Columbia,1971
KAMLOOPS CDA,22.2,16.4,British Columbia,1971
KAMLOOPS TUNSTALL CRES,21.5,16.0,British Columbia,1971
LOON LAKE,17.1,23.1,British Columbia,1971
LUMBY,18.6,24.3,British Columbia,1971
MALAKWA EAGLE R HATCHERY,18.4,35.6,British Columbia,1971
MT LOLO KAMLOOPS,13.7,33.3,British Columbia,1971
100 MILE HOUSE,16.0,36.1,British Columbia,1971
RICHLAND,17.9,28.6,British Columbia,1971
SALMON ARM,19.4,24.5,British Columbia,1971
SALMON ARM 2,19.8,26.1,British Columbia,1971
SHUSWAP FALLS,18.6,36.8,British Columbia,1971
SICAMOUS,20.1,43.7,British Columbia,1971
SORRENTO EAST,19.3,29.8,British Columbia,1971
VAVENBY,18.1,42.0,British Columbia,1971
WESTWOLD,17.8,15.3,British Columbia,1971
DONALD,16.2,24.1,British Columbia,1971
GLACIER NP ROGERS PASS,13.5,29.1,British Columbia,1971
GOLDEN A,17.7,18.1,British Columbia,1971
MICA DAM,17.9,38.3,British Columbia,1971
REVELSTOKE AIRPORT RD,18.3,33.5,British Columbia,1971
REVELSTOKE MT COPELAND,10.8,14.2,British Columbia,1971
SPILLIMACHEEN,16.5,28.0,British Columbia,1971
VALEMOUNT,16.4,62.8,British Columbia,1971
VALEMOUNT EAST,15.7,86.7,British Columbia,1971
GLACIER NP MT FIDELITY,11.3,65.2,British Columbia,1971
ARRAS,15.0,96.3,British Columbia,1971
BALDONNEL,16.5,120.4,British Columbia,1971
CECIL LAKE CDA,15.4,56.8,British Columbia,1971
CHETWYND BCFS,16.0,51.4,British Columbia,1971
DAWSON CREEK A,16.0,60.6,British Columbia,1971
FORT ST JOHN A,16.6,133.3,British Columbia,1971
GERMANSEN LANDING,15.8,54.3,British Columbia,1971
HUDSON HOPE BCHPA DAM,16.5,119.7,British Columbia,1971
MACKENZIE A,16.5,56.6,British Columbia,1971
CASSIAR,13.4,8.6,British Columbia,1971
DEASE LAKE,14.1,19.6,British Columbia,1971
FORT NELSON A,18.1,43.6,British Columbia,1971
FT NELSON CHURCHILL MINE,12.0,132.6,British Columbia,1971
LOWER POST,17.3,1.6,British Columbia,1971
MUNCHO LAKE,15.7,47.5,British Columbia,1971
ATLIN,13.5,0.3,British Columbia,1971
HAINES APPS NO 2,13.3,5.1,British Columbia,1971
KINASKAN LAKE,13.8,19.6,British Columbia,1971
MULE CREEK,10.7,11.9,British Columbia,1971
SCHAFT CREEK,14.0,32.3,British Columbia,1971
ANVIL,11.8,24.5,Yukon,1971
BEAVER CREEK A,13.9,42.0,Yukon,1971
BOUNDARY,12.0,108.1,Yukon,1971
BURWASH A,13.1,10.0,Yukon,1971
CARCROSS,13.8,3.6,Yukon,1971
CARMACKS,15.5,37.3,Yukon,1971
CASINO CREEK,11.8,71.9,Yukon,1971
CLINTON CREEK,14.3,71.3,Yukon,1971
DAWSON,15.8,43.0,Yukon,1971
DRURY CREEK,15.1,25.9,Yukon,1971
EAGLE RIVER,14.7,53.4,Yukon,1971
HAINES APPS #4,13.9,6.7,Yukon,1971
HAINES JUNCTION,13.6,7.0,Yukon,1971
JOHNSONS CROSSING,14.4,5.8,Yukon,1971
KLONDIKE,10.6,71.4,Yukon,1971
KLUANE LAKE,13.1,5.6,Yukon,1971
KOMAKUK BEACH A,9.0,20.1,Yukon,1971
MAYO A,16.3,47.9,Yukon,1971
OLD CROW A,14.4,13.9,Yukon,1971
PARKIN,13.8,8.1,Yukon,1971
PELLY RANCH,15.5,24.2,Yukon,1971
QUIET LAKE,14.8,8.4,Yukon,1971
ROSS RIVER A,14.0,12.5,Yukon,1971
SHELDON LAKE,13.5,25.6,Yukon,1971
SHINGLE POINT A,11.6,28.3,Yukon,1971
SWIFT RIVER,13.6,12.6,British Columbia,1971
TESLIN A,15.2,2.9,Yukon,1971
TUCHITUA,14.5,15.2,Yukon,1971
WATSON LAKE A,16.7,4.1,Yukon,1971
WHITEHORSE A,15.8,5.7,Yukon,1971
WOLF CREEK,14.4,8.9,Yukon,1971
ANGUS TOWER,15.4,39.7,Northwest Territories,1971
CAPE PARRY A,7.2,13.9,Northwest Territories,1971
FORT GOOD HOPE A,17.0,70.6,Northwest Territories,1971
FORT MCPHERSON,16.3,50.5,Northwest Territories,1971
FORT RELIANCE,14.9,20.6,Northwest Territories,1971
FORT RESOLUTION A,14.6,11.5,Northwest Territories,1971
FORT SIMPSON A,16.8,46.1,Northwest Territories,1971
FORT SMITH A,15.7,25.4,Northwest Territories,1971
HAY RIVER A,15.7,37.3,Northwest Territories,1971
HAY RIVER PARADISE GDNS,15.9,48.5,Northwest Territories,1971
INUVIK A,14.6,24.6,Northwest Territories,1971
NICHOLSON PENINSULA,9.1,23.1,Northwest Territories,1971
NORMAN WELLS A,17.4,70.5,Northwest Territories,1971
PORT RADIUM,12.7,20.1,Northwest Territories,1971
TUKTOYAKTUK,11.5,24.0,Northwest Territories,1971
TUKTOYAKTUK A,11.5,23.6,Northwest Territories,1971
TUNGSTEN,13.1,30.5,Northwest Territories,1971
WRIGLEY A,16.4,52.9,Northwest Territories,1971
YELLOWKNIFE A,16.1,11.6,Northwest Territories,1971
YOHIN,7.9,45.2,Northwest Territories,1971
BAKER LAKE A,11.9,43.4,Nunavut,1971
CHESTERFIELD,10.0,3.0,Nunavut,1971
CLINTON POINT,8.9,26.1,Nunavut,1971
CONTWOYTO LAKE,9.6,35.9,Nunavut,1971
COPPERMINE,11.1,31.5,Nunavut,1971
CORAL HARBOUR A,9.2,20.1,Nunavut,1971
ENNADAI LAKE,12.6,24.4,Nunavut,1971
JENNY LIND ISLAND A,7.2,51.3,Nunavut,1971
LADY FRANKLIN POINT A,7.1,40.6,Nunavut,1971
PELLY BAY,7.9,11.5,Nunavut,1971
SHEPHERD BAY A,9.2,3.4,Nunavut,1971
ALERT,3.9,18.1,Nunavut,1971
ARCTIC BAY,5.4,2.4,Nunavut,1971
BATHURST ISLAND,6.6,7.1,Nunavut,1971
BREVOORT ISLAND,2.3,159.6,Nunavut,1971
FOX FIVE,5.6,25.7,Nunavut,1971
BROUGHTON VILLAGE,3.2,29.7,Nunavut,1971
BYRON BAY A,10.2,26.0,Nunavut,1971
CAMBRIDGE BAY A,9.3,33.6,Nunavut,1971
CAPE DORSET A,7.1,33.7,Nunavut,1971
CAPE DYER A,5.4,68.7,Nunavut,1971
CAPE HOOPER,4.0,31.7,Nunavut,1971
CLYDE A,3.8,18.5,Nunavut,1971
DEWAR LAKES,6.5,99.3,Nunavut,1971
EUREKA,7.0,2.8,Nunavut,1971
GLADMAN POINT A,8.6,30.5,Nunavut,1971
HALL BEACH A,5.7,8.1,Nunavut,1971
IQALUIT A,6.6,94.8,Nunavut,1971
ISACHSEN,4.7,9.0,Nunavut,1971
LONGSTAFF BLUFF,8.4,27.3,Nunavut,1971
MACKAR INLET,7.3,25.7,Nunavut,1971
MEIGHEN ISLAND ICE CAP,0.8,9.7,Nunavut,1971
REA POINT,5.2,31.5,Nunavut,1971
RESOLUTE CARS,5.8,14.2,Nunavut,1971
RESOLUTION ISLAND,2.7,78.0,Nunavut,1971
MEIGHEN ISLAND NORTH,2.1,6.9,Nunavut,1971
MOULD BAY A,5.9,17.8,Northwest Territories,1971
SACHS HARBOUR A,7.0,19.1,Northwest Territories,1971
ALDER FLATS LO,14.8,185.2,Alberta,1971
ALLIANCE,16.2,101.9,Alberta,1971
AMISK,15.9,103.4,Alberta,1971
AURORA LO,14.4,159.3,Alberta,1971
BASELINE LO,12.4,69.6,Alberta,1971
BLACKSTONE LO,13.2,118.8,Alberta,1971
BRAZEAU LO,14.6,190.3,Alberta,1971
BRIGHTVIEW,15.1,212.6,Alberta,1971
BROWNFIELD,15.3,118.5,Alberta,1971
CALMAR,15.8,165.5,Alberta,1971
CAMROSE,15.8,117.1,Alberta,1971
CHEDDERVILLE CDA EPF,14.6,104.3,Alberta,1971
CLEARWATER,13.2,81.4,Alberta,1971
CORONATION A,16.3,83.4,Alberta,1971
EDMONTON INT'L A,15.0,126.4,Alberta,1971
EDMONTON CITY CENTRE A,16.8,127.0,Alberta,1971
EDMONTON NAMAO A,15.9,111.9,Alberta,1971
EDMONTON STONY PLAIN,15.5,186.2,Alberta,1971
ELK POINT,15.2,98.2,Alberta,1971
ELLERSLIE,15.6,125.4,Alberta,1971
FORESTBURG PLANT SITE,16.7,101.0,Alberta,1971
FORT SASKATCHEWAN,16.2,81.9,Alberta,1971
GLENEVIS,15.2,187.8,Alberta,1971
HORSESHOE LAKE,16.7,123.9,Alberta,1971
HUGHENDEN,15.5,121.5,Alberta,1971
KINSELLA RANCH,15.7,85.7,Alberta,1971
KITSCOTY,15.7,130.5,Alberta,1971
LLOYDMINSTER NORTH,15.8,117.2,Alberta,1971
MARWAYNE,16.2,141.6,Alberta,1971
MINBURN GRAZING RESERVE,15.2,87.4,Alberta,1971
O CHIESE LO,14.2,165.8,Alberta,1971
PRAIRIE CREEK RS,12.3,115.6,Alberta,1971
RANFURLY,15.6,110.6,Alberta,1971
ROCKY MTN HOUSE,15.1,139.7,Alberta,1971
ST LINA,15.2,81.4,Alberta,1971
SEDGEWICK,15.5,84.5,Alberta,1971
SION,15.1,137.0,Alberta,1971
STETTLER,15.3,109.8,Alberta,1971
TULLIBY LAKE,15.5,109.6,Alberta,1971
VEGREVILLE CDA,15.1,109.0,Alberta,1971
VERMILION A,15.3,111.6,Alberta,1971
VIKING NORTH,15.3,105.2,Alberta,1971
WARWICK,15.2,88.5,Alberta,1971
WASTINA HEMARUKA,16.1,86.0,Alberta,1971
WETASKIWIN,15.9,156.1,Alberta,1971
ACME CDA EPF,16.4,65.5,Alberta,1971
BASHAW,16.2,122.6,Alberta,1971
BOWDEN,15.2,67.3,Alberta,1971
BURNSTICK LO,14.5,64.3,Alberta,1971
CRAIGMYLE,16.6,83.7,Alberta,1971
CROSSFIELD,14.9,66.5,Alberta,1971
DUCHESS,17.4,37.3,Alberta,1971
ECKVILLE SOUTH,14.9,103.0,Alberta,1971
EMPRESS,18.2,35.2,Alberta,1971
FINNEGAN,16.9,39.9,Alberta,1971
HANNA,16.2,77.3,Alberta,1971
HUXLEY EAST,17.7,89.2,Alberta,1971
LACOMBE CDA,15.5,141.0,Alberta,1971
OLDS,15.4,70.8,Alberta,1971
PINE LAKE,14.8,127.1,Alberta,1971
RED DEER A,15.2,107.6,Alberta,1971
RIMBEY,15.2,148.5,Alberta,1971
SCOTFIELD,16.4,44.3,Alberta,1971
SIBBALD,16.9,62.1,Alberta,1971
SUNDRE RS,13.4,61.7,Alberta,1971
THREE HILLS,15.7,57.4,Alberta,1971
THREE HILLS TOWN,16.2,62.5,Alberta,1971
TROCHU EQUITY,16.3,65.0,Alberta,1971
WIMBORNE GAS PLANT,15.6,48.0,Alberta,1971
BOW ISLAND RIVERS DEV,19.4,9.2,Alberta,1971
BROOKS,17.8,25.1,Alberta,1971
BROOKS AHRC,17.8,20.1,Alberta,1971
BLACKIE,15.9,52.5,Alberta,1971
CALDWELL,15.8,62.2,Alberta,1971
CALGARY GLENMORE DAM,16.1,45.6,Alberta,1971
CALGARY INT'L A,16.0,73.5,Alberta,1971
CARDSTON,16.6,45.7,Alberta,1971
CARWAY,15.0,35.5,Alberta,1971
CLARESHOLM WATERWORKS,17.0,41.4,Alberta,1971
COWLEY,16.2,54.1,Alberta,1971
FOREMOST,17.9,16.3,Alberta,1971
FORT MACLEOD,17.8,32.1,Alberta,1971
GLEICHEN,16.6,55.2,Alberta,1971
HIGH RIVER,14.9,49.7,Alberta,1971
LETHBRIDGE A,18.1,26.2,Alberta,1971
LETHBRIDGE BEGAMY,19.7,12.7,Alberta,1971
LETHBRIDGE CDA,17.6,46.3,Alberta,1971
LETHBRIDGE COUNTY,20.0,16.6,Alberta,1971
MEDICINE HAT A,18.4,9.5,Alberta,1971
PINCHER CREEK,16.6,46.6,Alberta,1971
QUEENSTOWN,17.4,57.1,Alberta,1971
RAINIER,17.8,36.2,Alberta,1971
RAYMOND,17.2,32.0,Alberta,1971
STRATHMORE EAST,16.2,63.5,Alberta,1971
SUFFIELD A,17.9,12.7,Alberta,1971
TABER,18.4,38.8,Alberta,1971
TURNER VALLEY,14.4,40.4,Alberta,1971
UNIVERSITY OF CALGARY,15.8,70.9,Alberta,1971
VAUXHALL CDA,17.6,25.7,Alberta,1971
ADEN,18.6,23.4,Alberta,1971
MANYBERRIES CDA,18.1,13.9,Alberta,1971
MILK RIVER,18.5,21.4,Alberta,1971
WHISKEY GAP,14.6,34.0,Alberta,1971
BALDY LO,9.6,56.6,Alberta,1971
BANFF,15.0,33.9,Alberta,1971
BEAVER MINES,15.5,46.0,Alberta,1971
BIGHORN DAM,15.5,22.6,Alberta,1971
BLUEHILL LO,11.9,46.8,Alberta,1971
BLAIRMORE HQTS RS,14.1,53.1,Alberta,1971
CARBONDALE LO,9.4,22.4,Alberta,1971
CASTLE,14.0,51.4,Alberta,1971
